epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.197,0.8437,0.81982,0.9283,0.64957,0.48743,0.56674,0.47886,0.51723,0.54601,0.83043,3.96083e-05,3.96083e-05,3.96083e-05
1,451.207,0.8437,0.81982,0.9283,0.64957,0.48743,0.56674,0.47886,0.51723,0.54601,0.83043,3.96083e-05,3.96083e-05,3.96083e-05
2,792.41,0.77786,0.65222,0.90099,0.68471,0.40144,0.49552,0.40806,0.5167,0.53271,0.82607,7.14268e-05,7.14268e-05,7.14268e-05
3,1159.96,0.76501,0.63405,0.89666,0.57427,0.48003,0.49421,0.40769,0.52943,0.53188,0.8312,9.53912e-05,9.53912e-05,9.53912e-05
4,1507.86,0.7558,0.62113,0.89506,0.67819,0.38689,0.47831,0.40135,0.52851,0.524,0.82577,8.3657e-05,8.3657e-05,8.3657e-05
5,1829.91,0.74621,0.6044,0.88947,0.61797,0.42419,0.45514,0.37955,0.52348,0.51821,0.82462,7.1876e-05,7.1876e-05,7.1876e-05
6,2147.94,0.73296,0.59009,0.88509,0.59307,0.44269,0.45623,0.38099,0.51935,0.5048,0.82375,6.0095e-05,6.0095e-05,6.0095e-05
7,2466.34,0.72711,0.58073,0.88428,0.64384,0.42264,0.47792,0.39934,0.52667,0.50382,0.82499,4.8314e-05,4.8314e-05,4.8314e-05
8,2784.81,0.72196,0.57135,0.88147,0.65749,0.42108,0.47729,0.40649,0.51325,0.49347,0.82386,3.6533e-05,3.6533e-05,3.6533e-05
9,3103.1,0.71673,0.56576,0.8795,0.56354,0.42492,0.46928,0.39624,0.51341,0.48774,0.82054,2.4752e-05,2.4752e-05,2.4752e-05
10,3421.97,0.7114,0.55699,0.87757,0.64758,0.41506,0.4815,0.40781,0.50766,0.4871,0.81889,1.2971e-05,1.2971e-05,1.2971e-05
